source_table,id,student_id,academic_year,semester,weighted_average,total_credits,failed_courses,status_at_time,failed_courses_json,academic_year_label,year_level,result_type,created_at,title,course_code,assessment_type,max_score,weight_pct,date_assigned,scheduled_date,hall,status,template_key,instructor_id,session_id,timestamp,name,description,department_id,doctor_id,drive_link,weekly_schedule,credits,passing_score,parent_course_id,tier_level,is_elective,has_practical,assessment_blueprint,faculty_id,device_name,mac_address,api_key,location,last_seen,is_active,email,phone_number,specialization,office_hours,bio,appointment_link,course_id,enrolled_at,academic_year_snapshot,is_current,semester_snapshot,final_percentage,result,attendance_exception,total_years,semesters_per_year,assessment_id,raw_score,instructor_remarks,is_flagged,is_absent,created_by_doctor_id,grade_type,score,university_id,is_claimed,action_type,path,details_json,start_time,end_time,rfid_uid,current_semester,academic_status,id_card_image_url,approval_status,emergency_contact_phone,personal_email,is_blacklisted,blacklist_reason,rejection_reason,rejected_at,rejected_by_id,approved_at,approved_by_id,user_id,user_email,user_role,user_name,user_avatar,priority,target_model,target_id,ip_address,is_locked,academic_year_start,academic_year_end,log_retention_days,current_year_start,system_logo_url,capability_name,granted_by,expires_at,password_hash,academic_password_hash,role,last_login,profile_image_url,token,target,token_type,is_used
academic_records,1.0,2.0,2021.0,1.0,67.06,20.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,2.0,2.0,2021.0,2.0,65.43,17.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,3.0,3.0,2021.0,1.0,63.58,20.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,4.0,3.0,2021.0,2.0,59.62,17.0,1.0,CARRY_OVER,,2021/2022,1.0,CARRY_OVER,2022-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,5.0,3.0,2022.0,1.0,79.99,19.0,0.0,PROMOTED,,2022/2023,2.0,PROMOTED,2023-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,6.0,3.0,2022.0,2.0,99.38,18.0,0.0,PROMOTED,,2022/2023,2.0,PROMOTED,2023-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,7.0,3.0,2023.0,1.0,65.33,19.0,0.0,PROMOTED,,2023/2024,3.0,PROMOTED,2024-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,8.0,3.0,2023.0,2.0,66.4,18.0,0.0,PROMOTED,,2023/2024,3.0,PROMOTED,2024-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,9.0,3.0,2024.0,1.0,72.18,16.0,0.0,PROMOTED,,2024/2025,4.0,PROMOTED,2025-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,10.0,3.0,2024.0,2.0,52.78,18.0,2.0,CARRY_OVER,,2024/2025,4.0,CARRY_OVER,2025-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,11.0,4.0,2021.0,1.0,63.65,18.0,1.0,CARRY_OVER,,2021/2022,1.0,CARRY_OVER,2022-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,12.0,4.0,2021.0,2.0,71.32,15.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,13.0,4.0,2022.0,1.0,61.27,18.0,1.0,CARRY_OVER,,2022/2023,2.0,CARRY_OVER,2023-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,14.0,4.0,2022.0,2.0,86.37,20.0,0.0,PROMOTED,,2022/2023,2.0,PROMOTED,2023-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,15.0,4.0,2023.0,1.0,56.47,16.0,1.0,CARRY_OVER,,2023/2024,3.0,CARRY_OVER,2024-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,16.0,4.0,2023.0,2.0,82.81,19.0,0.0,PROMOTED,,2023/2024,3.0,PROMOTED,2024-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,17.0,5.0,2021.0,1.0,89.62,20.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,18.0,5.0,2021.0,2.0,76.58,20.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,19.0,5.0,2022.0,1.0,70.35,15.0,0.0,PROMOTED,,2022/2023,2.0,PROMOTED,2023-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,20.0,5.0,2022.0,2.0,74.96,16.0,0.0,PROMOTED,,2022/2023,2.0,PROMOTED,2023-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,21.0,7.0,2021.0,1.0,66.71,19.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,22.0,7.0,2021.0,2.0,47.57,15.0,2.0,CARRY_OVER,,2021/2022,1.0,CARRY_OVER,2022-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,23.0,8.0,2021.0,1.0,60.25,17.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,24.0,8.0,2021.0,2.0,71.87,19.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,25.0,8.0,2022.0,1.0,60.71,15.0,2.0,CARRY_OVER,,2022/2023,2.0,CARRY_OVER,2023-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,26.0,8.0,2022.0,2.0,67.04,20.0,0.0,PROMOTED,,2022/2023,2.0,PROMOTED,2023-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,27.0,8.0,2023.0,1.0,77.75,17.0,0.0,PROMOTED,,2023/2024,3.0,PROMOTED,2024-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,28.0,8.0,2023.0,2.0,73.74,16.0,0.0,PROMOTED,,2023/2024,3.0,PROMOTED,2024-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,29.0,9.0,2021.0,1.0,84.7,17.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,30.0,9.0,2021.0,2.0,75.53,18.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,31.0,9.0,2022.0,1.0,76.24,19.0,0.0,PROMOTED,,2022/2023,2.0,PROMOTED,2023-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,32.0,9.0,2022.0,2.0,63.45,15.0,1.0,CARRY_OVER,,2022/2023,2.0,CARRY_OVER,2023-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,33.0,10.0,2021.0,1.0,56.03,15.0,2.0,CARRY_OVER,,2021/2022,1.0,CARRY_OVER,2022-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,34.0,10.0,2021.0,2.0,67.04,20.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,35.0,11.0,2021.0,1.0,63.27,19.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,36.0,11.0,2021.0,2.0,70.0,17.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,37.0,11.0,2022.0,1.0,59.21,19.0,0.0,REPEATER,,2022/2023,2.0,REPEATER,2023-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,38.0,11.0,2022.0,2.0,82.11,15.0,0.0,PROMOTED,,2022/2023,2.0,PROMOTED,2023-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,39.0,11.0,2023.0,1.0,63.23,20.0,1.0,CARRY_OVER,,2023/2024,3.0,CARRY_OVER,2024-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,40.0,11.0,2023.0,2.0,67.63,17.0,0.0,PROMOTED,,2023/2024,3.0,PROMOTED,2024-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,41.0,11.0,2024.0,1.0,71.76,18.0,0.0,PROMOTED,,2024/2025,4.0,PROMOTED,2025-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,42.0,11.0,2024.0,2.0,85.48,16.0,0.0,PROMOTED,,2024/2025,4.0,PROMOTED,2025-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,43.0,12.0,2021.0,1.0,93.1,18.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,44.0,12.0,2021.0,2.0,93.93,18.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,45.0,12.0,2022.0,1.0,56.62,17.0,0.0,REPEATER,,2022/2023,2.0,REPEATER,2023-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,46.0,12.0,2022.0,2.0,67.52,16.0,0.0,PROMOTED,,2022/2023,2.0,PROMOTED,2023-06-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic_records,47.0,13.0,2021.0,1.0,65.24,18.0,0.0,PROMOTED,,2021/2022,1.0,PROMOTED,2022-01-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
