id,name,email,rfid_uid,phone_number,university_id,department_id,academic_year,current_semester,academic_status,id_card_image_url,approval_status,emergency_contact_phone,bio,personal_email,is_blacklisted,blacklist_reason,rejection_reason,rejected_at,rejected_by_id,approved_at,approved_by_id
1,Hossam Gamal,std.hossam1@student.edu.eg,RFID-000001,+201172092888,UNI-2021-0001,8,2,1,ACTIVE,,PENDING,+201183863413,,,False,,,,,,
2,Ali Gamal,std.ali2@student.edu.eg,RFID-000002,+201032321899,UNI-2023-0002,1,1,2,ACTIVE,,APPROVED,+201138688676,,,False,,,,,2025-09-28T00:00:00,2.0
3,Amr Osman,std.amr3@student.edu.eg,RFID-000003,+201148285503,UNI-2023-0003,1,4,2,ACTIVE,,APPROVED,+201035487660,,,False,,,,,2025-09-10T00:00:00,1.0
4,Nesma Gamal,std.nesma4@student.edu.eg,RFID-000004,+201273993471,UNI-2024-0004,1,3,1,ACTIVE,,APPROVED,+201078159587,,,False,,,,,2025-09-03T00:00:00,1.0
5,Eman Hassan,std.eman5@student.edu.eg,RFID-000005,+201243046464,UNI-2024-0005,11,2,1,ACTIVE,,APPROVED,+201221003626,,,False,,,,,2025-09-14T00:00:00,2.0
6,Karim Farouk,std.karim6@student.edu.eg,RFID-000006,+201296637649,UNI-2022-0006,4,3,2,ACTIVE,,REJECTED,+201119736572,,,False,,Incomplete documents,2025-09-01T00:00:00,1.0,,
7,Nahla Morsi,std.nahla7@student.edu.eg,RFID-000007,+201245594597,UNI-2021-0007,2,1,2,REPEATER,,APPROVED,+201042787299,,,False,,,,,2025-09-12T00:00:00,2.0
8,Yasmin Gamal,std.yasmin8@student.edu.eg,RFID-000008,+201280993218,UNI-2020-0008,12,3,2,ACTIVE,,APPROVED,+201223903144,,,False,,,,,2025-10-01T00:00:00,1.0
9,Khaled Ali,std.khaled9@student.edu.eg,RFID-000009,+201238270233,UNI-2025-0009,12,2,2,ACTIVE,,APPROVED,+201095125977,,,False,,,,,2025-09-28T00:00:00,2.0
10,Salma Mansour,std.salma10@student.edu.eg,RFID-000010,+201115917225,UNI-2020-0010,1,1,2,ACTIVE,,APPROVED,+201095511909,,,False,,,,,2025-09-09T00:00:00,1.0
11,Yasmin Gamal,std.yasmin11@student.edu.eg,RFID-000011,+201020099059,UNI-2025-0011,12,4,1,ACTIVE,,APPROVED,+201214835614,,,False,,,,,2025-09-27T00:00:00,2.0
