id,timestamp,session_id,user_id,user_email,user_role,user_name,user_avatar,action_type,priority,target_model,target_id,description,details_json,ip_address
1,2025-12-10T00:00:00,sess-a043db9a7d25d917,216,std.nourhan176@student.edu.eg,student,Nourhan Hassan,,CREATE,NORMAL,Doctor,19,System activity log entry,,192.168.1.140
2,2025-12-03T00:00:00,sess-f2a829a49fd17d0a,115,std.mahmoud75@student.edu.eg,student,Mahmoud Ibrahim,,UPDATE,NORMAL,Session,84,System activity log entry,,192.168.1.116
3,2025-11-12T00:00:00,sess-2198f03184e9ff39,252,std.khaled212@student.edu.eg,student,Khaled Khalil,,UPDATE,NORMAL,Student,44,System activity log entry,,192.168.1.83
4,2025-12-01T00:00:00,sess-50341ef8782395c7,333,std.mohamed293@student.edu.eg,student,Mohamed Hamdy,,DELETE,CAUTION,Faculty,19,System activity log entry,,192.168.1.208
5,2026-01-25T00:00:00,sess-86426b4bb4ce815f,32,eng.salma10@university.edu.eg,engineer,Salma El-Sayed,,UPDATE,NORMAL,Student,27,System activity log entry,,192.168.1.11
6,2026-04-25T00:00:00,sess-4103ed26c9d54d5b,405,std.mahmoud365@student.edu.eg,student,Mahmoud Mansour,,CREATE,NORMAL,Course,95,System activity log entry,,192.168.1.254
7,2025-12-13T00:00:00,sess-a5390e763b6b2a54,146,std.nour106@student.edu.eg,student,Nour Osman,,LOGIN,NORMAL,Faculty,62,System activity log entry,,192.168.1.147
8,2026-02-27T00:00:00,sess-35e73ec8dcea2396,163,std.yasmin123@student.edu.eg,student,Yasmin Osman,,LOGIN,NORMAL,Course,39,System activity log entry,,192.168.1.190
9,2025-11-29T00:00:00,sess-e2fbd635800cd7bb,374,std.sherif334@student.edu.eg,student,Sherif Tawfik,,DELETE,NORMAL,Student,99,System activity log entry,,192.168.1.43
10,2025-10-23T00:00:00,sess-8529ae72c2324534,318,std.rania278@student.edu.eg,student,Rania Mohamed,,LOGIN,NORMAL,Faculty,47,System activity log entry,,192.168.1.41
11,2025-10-30T00:00:00,sess-7b332bdf955b9d07,97,std.mariam57@student.edu.eg,student,Mariam Ali,,UPDATE,NORMAL,Doctor,63,System activity log entry,,192.168.1.14
12,2026-04-01T00:00:00,sess-898b7d233861a7ad,154,std.ibrahim114@student.edu.eg,student,Ibrahim Farouk,,CREATE,NORMAL,Course,21,System activity log entry,,192.168.1.6
13,2025-12-03T00:00:00,sess-e6309b810a516c54,391,std.ziad351@student.edu.eg,student,Ziad Gamal,,LOGOUT,NORMAL,Course,29,System activity log entry,,192.168.1.20
14,2026-01-05T00:00:00,sess-6d07492b4756f869,423,std.ahmed383@student.edu.eg,student,Ahmed El-Sayed,,CREATE,CAUTION,Student,25,System activity log entry,,192.168.1.195
15,2026-02-24T00:00:00,sess-37d07af303704d59,439,std.mona399@student.edu.eg,student,Mona Khalil,,LOGOUT,WARNING,Course,28,System activity log entry,,192.168.1.177
16,2025-10-16T00:00:00,sess-ab42aa18ea0ddda6,237,std.ibrahim197@student.edu.eg,student,Ibrahim Mahmoud,,LOGIN,WARNING,Faculty,69,System activity log entry,,192.168.1.200
17,2025-12-15T00:00:00,sess-e55234df571c7f25,252,std.khaled212@student.edu.eg,student,Khaled Khalil,,CREATE,NORMAL,Session,48,System activity log entry,,192.168.1.141
18,2026-04-09T00:00:00,sess-ef7d6896982c6028,173,std.sahar133@student.edu.eg,student,Sahar Hassan,,CREATE,CAUTION,Enrollment,91,System activity log entry,,192.168.1.126
19,2026-01-10T00:00:00,sess-87d92a501208e015,101,std.aya61@student.edu.eg,student,Aya Osman,,CREATE,NORMAL,Student,51,System activity log entry,,192.168.1.60
20,2026-04-15T00:00:00,sess-bad1fc10bfe2b6eb,252,std.khaled212@student.edu.eg,student,Khaled Khalil,,DELETE,NORMAL,Doctor,23,System activity log entry,,192.168.1.140
21,2026-03-30T00:00:00,sess-ed0b00b0ad0b3056,58,std.layla18@student.edu.eg,student,Layla Gamal,,LOGOUT,NORMAL,Faculty,44,System activity log entry,,192.168.1.182
22,2025-12-09T00:00:00,sess-0fe52d2e767d196d,323,std.ibrahim283@student.edu.eg,student,Ibrahim Khalil,,UPDATE,CAUTION,Session,35,System activity log entry,,192.168.1.162
23,2025-12-20T00:00:00,sess-ef346adab309c699,352,std.amr312@student.edu.eg,student,Amr Ali,,CREATE,NORMAL,Doctor,76,System activity log entry,,192.168.1.121
