id,email,name,password_hash,academic_password_hash,role,phone_number,last_login,profile_image_url
1,superadmin@system.edu.eg,System Super Admin,$2b$12$fakehash,,super_admin,+201119510312,2025-12-01T00:00:00,
2,admin@system.edu.eg,System Admin,$2b$12$fakehash,,admin,+201241944441,2025-12-01T00:00:00,
3,dr.khaled1@university.edu.eg,Khaled El-Sayed,$2b$12$fakehash,,doctor,+201246913810,2025-11-11T00:00:00,
4,dr.mahmoud2@university.edu.eg,Mahmoud Ali,$2b$12$fakehash,,doctor,+201283197857,2026-02-19T00:00:00,
5,dr.rania3@university.edu.eg,Rania Ibrahim,$2b$12$fakehash,,doctor,+201022575562,2026-01-03T00:00:00,
6,dr.noura4@university.edu.eg,Noura Ismail,$2b$12$fakehash,,doctor,+201085329037,2025-10-25T00:00:00,
7,dr.nourhan5@university.edu.eg,Nourhan Gamal,$2b$12$fakehash,,doctor,+201139587039,2026-01-17T00:00:00,
8,dr.ayman6@university.edu.eg,Ayman El-Sayed,$2b$12$fakehash,,doctor,+201066722344,2025-10-04T00:00:00,
9,dr.mostafa7@university.edu.eg,Mostafa Mohamed,$2b$12$fakehash,,doctor,+201123718431,2026-03-05T00:00:00,
10,dr.ibrahim8@university.edu.eg,Ibrahim Nasser,$2b$12$fakehash,,doctor,+201191030736,2026-01-25T00:00:00,
11,dr.mariam9@university.edu.eg,Mariam Gamal,$2b$12$fakehash,,doctor,+201060806024,2026-01-26T00:00:00,
12,dr.bassem10@university.edu.eg,Bassem Ismail,$2b$12$fakehash,,doctor,+201187490893,2025-12-31T00:00:00,
13,dr.hassan11@university.edu.eg,Hassan Ibrahim,$2b$12$fakehash,,doctor,+201240587988,2025-11-02T00:00:00,
14,dr.eslam12@university.edu.eg,Eslam Ali,$2b$12$fakehash,,doctor,+201147308985,2026-03-20T00:00:00,
15,dr.sara13@university.edu.eg,Sara Abdel-Rahman,$2b$12$fakehash,,doctor,+201157683626,2025-12-31T00:00:00,
16,dr.ayman14@university.edu.eg,Ayman Hassan,$2b$12$fakehash,,doctor,+201295225343,2026-03-26T00:00:00,
17,dr.seif15@university.edu.eg,Seif Abdel-Rahman,$2b$12$fakehash,,doctor,+201160929647,2025-12-14T00:00:00,
18,dr.heba16@university.edu.eg,Heba Khalil,$2b$12$fakehash,,doctor,+201253524491,2025-10-19T00:00:00,
19,dr.omar17@university.edu.eg,Omar Farouk,$2b$12$fakehash,,doctor,+201145935572,2025-09-25T00:00:00,
20,dr.sahar18@university.edu.eg,Sahar Farouk,$2b$12$fakehash,,doctor,+201097971488,2025-09-25T00:00:00,
21,dr.nourhan19@university.edu.eg,Nourhan Shaker,$2b$12$fakehash,,doctor,+201045551614,2026-02-16T00:00:00,
22,dr.heba20@university.edu.eg,Heba Gamal,$2b$12$fakehash,,doctor,+201188461803,2025-12-20T00:00:00,
23,eng.dina1@university.edu.eg,Dina Nasser,$2b$12$fakehash,,engineer,+201028566572,2025-11-30T00:00:00,
24,eng.youssef2@university.edu.eg,Youssef Ibrahim,$2b$12$fakehash,,engineer,+201030514014,2025-12-18T00:00:00,
25,eng.rania3@university.edu.eg,Rania Ismail,$2b$12$fakehash,,engineer,+201061642594,2025-12-15T00:00:00,
26,eng.mariam4@university.edu.eg,Mariam Tawfik,$2b$12$fakehash,,engineer,+201184252722,2025-12-29T00:00:00,
27,eng.khaled5@university.edu.eg,Khaled Gamal,$2b$12$fakehash,,engineer,+201196028436,2026-03-06T00:00:00,
28,eng.bassem6@university.edu.eg,Bassem Abdallah,$2b$12$fakehash,,engineer,+201070897765,2025-09-14T00:00:00,
29,eng.ziad7@university.edu.eg,Ziad Tawfik,$2b$12$fakehash,,engineer,+201078139880,2026-02-20T00:00:00,
30,eng.nour8@university.edu.eg,Nour Tawfik,$2b$12$fakehash,,engineer,+201236697396,2026-02-15T00:00:00,
31,eng.amr9@university.edu.eg,Amr Gamal,$2b$12$fakehash,,engineer,+201210076758,2026-02-13T00:00:00,
32,eng.salma10@university.edu.eg,Salma El-Sayed,$2b$12$fakehash,,engineer,+201058718453,2025-09-26T00:00:00,
33,eng.seif11@university.edu.eg,Seif Ibrahim,$2b$12$fakehash,,engineer,+201086149359,2025-09-16T00:00:00,
34,eng.salma12@university.edu.eg,Salma Hassan,$2b$12$fakehash,,engineer,+201226879290,2025-12-13T00:00:00,
35,eng.aya13@university.edu.eg,Aya Gamal,$2b$12$fakehash,,engineer,+201045575298,2026-03-06T00:00:00,
36,eng.rania14@university.edu.eg,Rania Mohamed,$2b$12$fakehash,,engineer,+201236998038,2025-11-26T00:00:00,
