id,token,target,token_type,expires_at,is_used
1,22OU2VNE,std.hossam22@student.edu.eg,password_reset,2026-04-27T01:00:00,1
2,M13QVBNK,std.heba24@student.edu.eg,password_reset,2026-04-28T10:00:00,0
3,JVBC82SG,std.heba24@student.edu.eg,email_verification,2026-04-28T20:00:00,1
4,PJAWUHJ1,std.yasmin11@student.edu.eg,email_verification,2026-04-28T05:00:00,0
5,DEYCZNYC,std.layla18@student.edu.eg,password_reset,2026-04-28T03:00:00,1
6,6VY0V3CM,std.nour19@student.edu.eg,password_reset,2026-04-27T08:00:00,0
7,BX0HJ7T5,std.ali2@student.edu.eg,email_verification,2026-04-27T10:00:00,1
8,JM8R7A4K,std.karim27@student.edu.eg,email_verification,2026-04-28T13:00:00,1
9,7TDV842Q,std.hossam22@student.edu.eg,password_reset,2026-04-28T15:00:00,1
10,QNKV78RT,std.khaled9@student.edu.eg,password_reset,2026-04-27T12:00:00,0
11,JCGMBJ2W,std.eman29@student.edu.eg,email_verification,2026-04-28T04:00:00,1
12,54WSXQ9S,std.amira16@student.edu.eg,password_reset,2026-04-27T19:00:00,1
13,LJQKCJEV,std.eman5@student.edu.eg,email_verification,2026-04-28T03:00:00,0
14,Y8PZL99U,std.khaled9@student.edu.eg,password_reset,2026-04-27T16:00:00,0
15,D44T2RIZ,std.hossam22@student.edu.eg,password_reset,2026-04-28T03:00:00,0
16,7CMTOZZI,std.eman29@student.edu.eg,email_verification,2026-04-28T06:00:00,0
17,XMJBLINE,std.eman5@student.edu.eg,password_reset,2026-04-28T17:00:00,1
18,IB48G5X1,std.amira16@student.edu.eg,email_verification,2026-04-28T11:00:00,1
19,WFK5MGC3,std.eman5@student.edu.eg,email_verification,2026-04-27T14:00:00,0
20,R4UR1BOC,std.hossam23@student.edu.eg,password_reset,2026-04-27T23:00:00,1
21,SNML4C7F,std.nesma28@student.edu.eg,email_verification,2026-04-27T22:00:00,0
22,CGXZNV6L,std.sahar20@student.edu.eg,password_reset,2026-04-28T01:00:00,1
23,GSFYTK5L,std.ali2@student.edu.eg,email_verification,2026-04-27T06:00:00,0
24,4GWT6D05,std.nahla7@student.edu.eg,email_verification,2026-04-27T02:00:00,0
25,58S9EP5R,std.heba13@student.edu.eg,email_verification,2026-04-28T04:00:00,1
26,GFQNBIA9,std.amira16@student.edu.eg,password_reset,2026-04-28T12:00:00,0
27,3PC0OXIH,std.aya21@student.edu.eg,password_reset,2026-04-28T17:00:00,1
28,RMPGX44Q,std.aya21@student.edu.eg,email_verification,2026-04-27T04:00:00,1
29,LMMVH71H,std.aya21@student.edu.eg,email_verification,2026-04-27T11:00:00,1
30,337AZ2B0,std.eman5@student.edu.eg,password_reset,2026-04-27T22:00:00,1
